iter	Logloss
0	0.6446703769
1	0.6021818623
2	0.5583000986
3	0.521926422
4	0.4913472805
5	0.4609836592
6	0.43998789
7	0.4199554629
8	0.3988317493
9	0.3788972004
10	0.3647806271
11	0.3491376681
12	0.3355053605
13	0.3226721132
14	0.3128633519
15	0.3032372447
16	0.2938642879
17	0.2837031993
18	0.2760462696
19	0.2692053792
20	0.2629240031
21	0.257569956
22	0.2515367779
23	0.2446105731
24	0.2404440714
25	0.2358057929
26	0.2312451035
27	0.226588144
28	0.2217784454
29	0.2176197452
30	0.2139349145
31	0.210743664
32	0.2080037709
33	0.2050689521
34	0.2021584985
35	0.1999060545
36	0.197174528
37	0.1948826512
38	0.1925705542
39	0.1898943375
40	0.1877586691
41	0.1859348105
42	0.1843944305
43	0.1825038835
44	0.1808061178
45	0.1790724423
46	0.1774474814
47	0.1762590248
48	0.1743738027
49	0.1723989198
50	0.1709223503
51	0.1696945835
52	0.168861283
53	0.1676916391
54	0.1667933893
55	0.1656937057
56	0.1642158327
57	0.163095484
58	0.1618899194
59	0.1609517756
60	0.1598750042
61	0.1586944993
62	0.1577123007
63	0.1569257659
64	0.1561276842
65	0.1555516003
66	0.1546800343
67	0.1537071153
68	0.1529806377
69	0.152311432
70	0.1514682736
71	0.1508277709
72	0.1503269689
73	0.1496331351
74	0.1487681553
75	0.1481493709
76	0.1476903916
77	0.1469726766
78	0.1465033459
79	0.1459697551
80	0.1456386826
81	0.1451178129
82	0.1445922536
83	0.1440033254
84	0.143445304
85	0.1429638921
86	0.1423113925
87	0.1417861276
88	0.141243283
89	0.1406779564
90	0.1401984742
91	0.1399152185
92	0.1394546046
93	0.139057566
94	0.1385685226
95	0.1383498438
96	0.137851955
97	0.1374164089
98	0.1371698302
99	0.136879334
100	0.136464556
101	0.1361679193
102	0.1357799664
103	0.1354350186
104	0.1350352269
105	0.1348537021
106	0.134483948
107	0.1341694934
108	0.1338022185
109	0.1334943066
110	0.1331710428
111	0.1327972098
112	0.1325135511
113	0.1321608315
114	0.1318647904
115	0.1316522576
116	0.1313544743
117	0.1310258328
118	0.1309009602
119	0.1307225559
120	0.1302866562
121	0.129947878
122	0.1295954844
123	0.1293987647
124	0.1292024632
125	0.1290429815
126	0.1287297693
127	0.1285628102
128	0.1282893341
129	0.1279838717
130	0.1277585385
131	0.1275842655
132	0.1274566128
133	0.1273167837
134	0.127072411
135	0.1268854438
136	0.1266511017
137	0.1264763887
138	0.1262644244
139	0.126044895
140	0.125639312
141	0.1253935166
142	0.1250863122
143	0.1249488607
144	0.1247878782
145	0.1245066976
146	0.1243686994
147	0.1238849005
148	0.1237446989
149	0.1235365003
150	0.1233357874
151	0.1231989808
152	0.1230243118
153	0.1228557821
154	0.1227375265
155	0.1225762829
156	0.1224491023
157	0.1223474037
158	0.1221767287
159	0.1219947746
160	0.121821477
161	0.1217234957
162	0.1215800144
163	0.1214631021
164	0.1213368816
165	0.1212101755
166	0.1210677984
167	0.1209048957
168	0.1207708515
169	0.1206371681
170	0.1204321186
171	0.1202685537
172	0.120156708
173	0.1200274531
174	0.1198450678
175	0.1197867455
176	0.1196792257
177	0.1194990258
178	0.1193755177
179	0.1191844212
180	0.1190992674
181	0.1190117344
182	0.1188167741
183	0.1186885271
184	0.1185603375
185	0.1183890572
186	0.1182772195
187	0.1181471032
188	0.1180394584
189	0.117887646
190	0.1178080093
191	0.1177120091
192	0.1175392539
193	0.1174689558
194	0.1171294047
195	0.1169669185
196	0.1168224805
197	0.1166697679
198	0.1165545849
199	0.1164712406
200	0.1163194298
201	0.1162223233
202	0.1161409667
203	0.1160172685
204	0.1159442491
205	0.1158265351
206	0.1157316177
207	0.1156167717
208	0.1155211433
209	0.1154476692
210	0.1153863936
211	0.1153052595
212	0.1151969535
213	0.1151136858
214	0.1149910081
215	0.1148974951
216	0.114793483
217	0.1146713296
