iter	Logloss
0	0.6482343428
1	0.6009158166
2	0.5566832395
3	0.5186146058
4	0.488967321
5	0.4618476165
6	0.442320332
7	0.418139398
8	0.3977588532
9	0.3823411625
10	0.3678536106
11	0.3556780261
12	0.3441484343
13	0.3314621184
14	0.3197846353
15	0.3094962802
16	0.2989048769
17	0.2910979427
18	0.2830117635
19	0.2758485982
20	0.2687780088
21	0.2632048349
22	0.2552955376
23	0.2501751964
24	0.2450898971
25	0.2391229284
26	0.2344550447
27	0.2299237288
28	0.2253526303
29	0.2215361722
30	0.2186015481
31	0.215408772
32	0.2118854147
33	0.2088000233
34	0.205485696
35	0.2024024793
36	0.1996213835
37	0.1975586486
38	0.1948707188
39	0.1920540443
40	0.1897226333
41	0.1879121042
42	0.1860640035
43	0.1843485158
44	0.1828201643
45	0.181367918
46	0.1795577568
47	0.1780375259
48	0.1767604576
49	0.1755515928
50	0.1737217872
51	0.1721533463
52	0.1712899358
53	0.1698852714
54	0.1685369986
55	0.1671355929
56	0.1659257217
57	0.1646280788
58	0.1637427371
59	0.162795025
60	0.1616454225
61	0.1606761452
62	0.1598669798
63	0.1591910766
64	0.157978443
65	0.1569040907
66	0.1560477671
67	0.1554148399
68	0.1545760386
69	0.1540729867
70	0.1533207221
71	0.1528447494
72	0.1516903651
73	0.1511890128
74	0.1501096317
75	0.1489705727
76	0.148439898
77	0.1478880188
78	0.1474068591
79	0.1469618266
80	0.1461949555
81	0.1457120999
82	0.1452813083
83	0.1445791823
84	0.1440015169
85	0.1432070192
86	0.1426093759
87	0.1417631432
88	0.1414178103
89	0.1410559819
90	0.1403988259
91	0.1399760929
92	0.1394207208
93	0.1390702999
94	0.1386564812
95	0.1381026183
96	0.1373266061
97	0.1368424042
98	0.1365622067
99	0.1360174869
100	0.1357089731
101	0.1352714297
102	0.1346996935
103	0.1343352731
104	0.133849396
105	0.1335336482
106	0.1332757542
107	0.1330082167
108	0.1326489235
109	0.1321086472
110	0.1316958649
111	0.1312958352
112	0.131050357
113	0.1307998511
114	0.1301513901
115	0.1299319089
116	0.1296857435
117	0.1292563608
118	0.1289552108
119	0.1287004631
120	0.1284559889
121	0.1282491557
122	0.1280349756
123	0.1278418112
124	0.1276292971
125	0.1274163847
126	0.1271040575
127	0.126808415
128	0.1263875434
129	0.1261534923
130	0.1259656693
131	0.1257504415
132	0.1255426826
133	0.1252862357
134	0.1249611108
135	0.1247811811
136	0.1243985007
137	0.124062777
138	0.1238635571
139	0.123506314
140	0.1232341701
141	0.1229608728
