iter	Passed	Remaining
0	28	112663
1	52	105147
2	76	101758
3	92	92375
4	109	87243
5	127	85082
6	143	81933
7	159	79507
8	173	77125
9	189	75770
10	204	74213
11	221	73578
12	237	72719
13	253	72106
14	269	71569
15	284	70862
16	300	70468
17	317	70336
18	332	69710
19	350	69702
20	377	71514
21	415	75109
22	430	74444
23	447	74183
24	467	74270
25	491	75091
26	511	75235
27	529	75057
28	546	74820
29	561	74251
30	576	73752
31	594	73693
32	610	73366
33	628	73358
34	645	73096
35	661	72805
36	676	72412
37	692	72214
38	706	71786
39	722	71553
40	737	71255
41	753	70979
42	768	70703
43	783	70457
44	803	70594
45	819	70401
46	832	70051
47	849	69983
48	864	69680
49	880	69552
50	895	69314
51	911	69209
52	931	69363
53	947	69214
54	962	69062
55	983	69240
56	999	69112
57	1014	68968
58	1029	68784
59	1045	68628
60	1064	68741
61	1082	68766
62	1102	68921
63	1117	68697
64	1133	68619
65	1150	68562
66	1165	68412
67	1181	68340
68	1198	68276
69	1213	68138
70	1227	67926
71	1243	67863
72	1291	69489
73	1306	69332
74	1322	69235
75	1338	69090
76	1353	68975
77	1368	68828
78	1383	68667
79	1424	69819
80	1440	69700
81	1456	69598
82	1472	69509
83	1489	69426
84	1504	69302
85	1520	69179
86	1535	69058
87	1549	68882
88	1564	68737
89	1579	68600
90	1596	68574
91	1611	68447
92	1628	68395
93	1643	68301
94	1660	68240
95	1675	68145
96	1692	68104
97	1706	67945
98	1720	67794
99	1734	67640
100	1751	67612
101	1766	67524
102	1782	67438
103	1796	67296
104	1811	67191
105	1827	67136
106	1843	67075
107	1860	67040
108	1875	66962
109	1890	66853
110	1905	66778
111	1920	66671
112	1936	66620
113	1951	66530
114	1970	66577
115	1986	66497
116	2002	66450
117	2018	66417
118	2034	66363
119	2050	66314
120	2067	66292
121	2082	66206
122	2098	66152
123	2113	66052
124	2130	66039
125	2147	66029
126	2163	65986
127	2180	65954
128	2197	65929
129	2213	65907
130	2230	65863
131	2245	65802
132	2261	65756
133	2276	65674
134	2291	65613
135	2307	65552
136	2323	65505
137	2340	65507
138	2357	65483
139	2373	65442
