iter	Passed	Remaining
0	19	78978
1	36	73178
2	53	71288
3	69	69782
4	87	69803
5	102	67998
6	118	67607
7	133	66483
8	150	66546
9	168	67048
10	186	67778
11	204	67834
12	220	67557
13	235	66944
14	250	66466
15	265	66007
16	279	65527
17	295	65357
18	310	65008
19	323	64444
20	339	64346
21	357	64556
22	373	64503
23	387	64170
24	403	64103
25	416	63618
26	430	63290
27	446	63317
28	459	62961
29	473	62642
30	487	62416
31	502	62268
32	515	61960
33	531	61950
34	546	61954
35	559	61598
36	574	61548
37	589	61421
38	602	61236
39	617	61129
40	631	60965
41	644	60708
42	658	60602
43	673	60516
44	687	60431
45	706	60755
46	794	66827
47	815	67131
48	834	67273
49	848	67017
50	861	66708
51	877	66618
52	891	66421
53	908	66374
54	923	66232
55	937	66032
56	951	65815
57	966	65709
58	980	65520
59	995	65380
60	1012	65381
61	1027	65261
62	1043	65230
63	1062	65351
64	1079	65336
65	1094	65227
66	1109	65148
67	1123	64950
68	1136	64740
69	1156	64905
70	1182	65421
71	1217	66442
72	1246	67079
73	1272	67518
74	1287	67364
75	1303	67304
76	1316	67052
77	1329	66874
78	1346	66812
79	1360	66641
80	1374	66493
81	1389	66401
82	1402	66194
83	1416	66032
84	1430	65885
85	1444	65742
86	1459	65624
87	1475	65593
88	1491	65533
89	1505	65400
90	1519	65262
91	1534	65174
92	1548	65040
93	1562	64910
94	1576	64785
95	1591	64729
96	1606	64651
97	1622	64584
98	1636	64477
99	1651	64392
100	1666	64336
101	1678	64162
102	1693	64059
103	1707	63954
104	1721	63853
105	1736	63792
106	1751	63735
107	1764	63603
108	1779	63520
109	1869	66106
110	1891	66259
111	1939	67317
112	1959	67388
113	1972	67223
114	1987	67140
115	2002	67054
116	2014	66868
117	2029	66761
118	2042	66628
119	2057	66530
120	2072	66433
121	2086	66324
122	2100	66207
123	2114	66095
124	2129	66009
125	2143	65902
126	2155	65731
127	2169	65639
128	2183	65518
129	2197	65429
130	2212	65342
131	2226	65236
132	2242	65205
133	2256	65098
134	2271	65024
135	2284	64914
136	2298	64801
137	2313	64757
138	2333	64805
139	2347	64735
140	2361	64636
141	2374	64522
142	2389	64455
143	2404	64379
144	2419	64316
145	2432	64209
146	2447	64162
147	2462	64100
148	2476	64013
149	2490	63928
150	2505	63877
151	2520	63818
152	2535	63759
153	2548	63657
154	2563	63596
155	2578	63549
156	2595	63542
157	2608	63427
158	2622	63345
159	2634	63238
160	2650	63188
161	2665	63158
162	2680	63093
163	2694	63031
164	2710	62990
165	2724	62929
166	2739	62881
167	2752	62780
168	2767	62729
169	2782	62689
170	2798	62655
171	2812	62596
172	2828	62569
173	2843	62532
174	2858	62488
175	2879	62560
176	3005	64913
177	3025	64965
178	3052	65167
179	3068	65128
180	3083	65065
181	3098	65005
182	3113	64942
183	3128	64879
184	3143	64823
185	3158	64769
186	3173	64708
187	3187	64632
188	3202	64569
189	3215	64486
190	3230	64429
191	3244	64349
192	3259	64293
193	3274	64243
194	3288	64174
195	3303	64115
196	3318	64071
197	3334	64033
198	3350	63987
199	3363	63914
200	3379	63880
201	3395	63838
202	3409	63774
203	3424	63728
204	3442	63721
205	3458	63698
206	3472	63630
207	3487	63588
208	3502	63533
209	3516	63468
210	3532	63429
211	3545	63348
212	3559	63288
213	3574	63243
214	3589	63191
215	3604	63150
216	3620	63110
217	3635	63064
218	3649	63009
219	3662	62920
220	3677	62886
221	3694	62865
222	3709	62824
223	3721	62733
224	3737	62704
225	3750	62635
226	3765	62579
227	3779	62535
228	3794	62476
229	3807	62410
230	3822	62367
231	3836	62304
232	3850	62249
233	3865	62205
234	3880	62174
235	3896	62147
236	3911	62099
237	3924	62037
238	3939	61997
239	3954	61958
240	3969	61912
241	3981	61829
242	3995	61779
243	4083	62863
244	4104	62909
245	4167	63594
246	4181	63530
247	4195	63475
248	4210	63425
249	4224	63372
250	4238	63310
251	4253	63262
252	4269	63236
253	4283	63171
254	4298	63123
255	4311	63061
256	4327	63031
257	4342	62976
258	4355	62905
259	4369	62852
260	4383	62790
261	4396	62726
262	4411	62688
263	4428	62665
264	4443	62623
265	4457	62577
