iter	Passed	Remaining
0	14	74292
1	29	74709
2	45	75747
3	61	77098
4	76	76740
5	93	77552
6	108	77281
7	122	76326
8	138	77049
9	155	77839
10	171	77622
11	187	77790
12	203	77928
13	217	77334
14	262	87101
15	283	88211
16	296	86854
17	311	86146
18	324	84976
19	338	84257
20	353	83705
21	368	83361
22	382	82782
23	399	82878
24	414	82400
25	427	81727
26	440	81194
27	453	80586
28	466	79983
29	481	79704
30	493	79129
31	506	78701
32	520	78300
33	533	77869
34	547	77685
35	561	77428
36	575	77200
37	589	76938
38	603	76793
39	617	76573
40	630	76318
41	645	76241
42	659	75984
43	671	75689
44	687	75656
45	700	75396
46	713	75204
47	726	74952
48	739	74752
49	752	74491
50	766	74335
51	779	74125
52	793	74076
53	807	73991
54	820	73812
55	835	73728
56	848	73612
57	862	73520
58	877	73502
59	890	73332
60	905	73299
61	918	73170
62	932	73050
63	945	72943
64	959	72867
65	974	72834
66	988	72800
67	1003	72753
68	1016	72643
69	1028	72467
70	1040	72266
71	1052	72032
72	1065	71935
73	1079	71890
74	1093	71784
75	1105	71617
76	1117	71478
77	1131	71408
78	1146	71422
79	1161	71438
80	1178	71585
81	1193	71602
82	1206	71500
83	1220	71404
84	1237	71546
85	1251	71505
86	1264	71432
87	1279	71405
88	1293	71373
89	1306	71295
90	1319	71204
91	1334	71168
92	1347	71094
93	1359	70952
94	1372	70883
95	1385	70770
96	1397	70648
97	1411	70583
98	1425	70589
99	1440	70577
100	1453	70519
101	1466	70434
102	1479	70357
103	1491	70216
104	1504	70156
105	1519	70140
106	1532	70073
107	1545	70024
108	1559	69955
109	1571	69850
110	1583	69735
111	1595	69644
112	1609	69588
113	1621	69494
114	1631	69306
115	1646	69321
116	1659	69248
117	1673	69252
118	1687	69210
119	1700	69172
120	1713	69087
121	1725	69005
122	1739	68983
123	1755	69023
124	1770	69038
125	1784	69032
126	1796	68937
127	1809	68882
128	1823	68859
129	1836	68809
130	1851	68807
131	1865	68788
132	1879	68784
133	1893	68770
134	1906	68715
135	1920	68696
136	1934	68672
137	1947	68613
138	1960	68571
139	1973	68522
140	1987	68488
141	2000	68451
142	2013	68382
143	2026	68341
144	2041	68350
145	2054	68319
146	2068	68304
147	2080	68208
148	2094	68197
149	2109	68211
150	2124	68217
151	2137	68165
152	2150	68134
153	2163	68090
154	2178	68080
155	2191	68057
156	2205	68045
157	2219	68025
158	2232	67975
159	2246	67943
160	2259	67926
161	2275	67960
162	2289	67940
163	2305	67977
164	2320	68003
165	2337	68055
166	2351	68051
167	2364	68004
168	2378	67989
169	2393	67990
170	2405	67944
171	2420	67950
172	2435	67960
173	2449	67935
174	2462	67896
175	2477	67901
176	2491	67881
177	2502	67801
178	2517	67796
179	2530	67752
180	2544	67749
181	2558	67729
182	2571	67692
183	2585	67667
184	2599	67653
185	2611	67589
186	2624	67552
187	2637	67520
188	2651	67488
189	2663	67432
190	2677	67414
191	2691	67408
192	2704	67371
193	2718	67350
194	2730	67275
195	2744	67257
196	2755	67186
197	2767	67116
198	2780	67072
199	2793	67049
200	2806	67014
201	2817	66929
202	2831	66917
203	2846	66915
204	2859	66879
205	2872	66837
206	2886	66842
207	2900	66825
208	2914	66809
209	2925	66737
210	2939	66722
211	2953	66701
212	2968	66709
213	2982	66705
214	2996	66682
215	3010	66671
216	3024	66658
217	3038	66647
218	3051	66627
219	3064	66586
220	3078	66578
221	3092	66556
222	3105	66520
223	3118	66497
224	3133	66499
225	3148	66500
226	3161	66482
227	3176	66479
228	3191	66492
229	3205	66472
230	3219	66469
231	3235	66487
232	3250	66496
233	3262	66440
234	3275	66412
235	3290	66428
236	3306	66447
237	3320	66442
238	3336	66472
239	3353	66515
240	3370	66551
241	3386	66574
