Complexity,Loss,Equation
1,1.1353517,"10.65562"
2,0.8498307,"log(pX_E3x5_Lr2)"
4,0.5816738,"log(pX_E3x5_Lr2 + p_pt_track)"
5,0.47721225,"abs(p_eta) + log(p_pt_track)"
6,0.42593423,"sqrt(abs(p_eta)) + log(p_pt_track)"
7,0.33277214,"log(p_pt_track) + abs(p_eta * -0.7221374)"
8,0.30396473,"log(p_pt_track + (pX_ecore / (p_ptcone40 + 1.8978535)))"
10,0.2902192,"log(p_pt_track + (pX_ecore / (p_ptcone40 + 1.0562099))) * 0.9705134"
11,0.25713253,"log((pX_E3x5_Lr2 / (p_ptcone40 + 0.986939)) + (p_pt_track * abs(p_eta)))"
12,0.25467265,"log((p_pt_track * sqrt(abs(p_eta))) + (pX_E3x5_Lr2 / (1.1151145 + p_ptcone40)))"
13,0.23503518,"log((p_pt_track * (abs(p_eta) + 0.33626416)) + (pX_E3x5_Lr2 / (p_ptcone40 + 1.4806257)))"
14,0.22995488,"log((pX_E3x5_Lr2 / (p_ptcone40 + 1.3448381)) + (p_pt_track * sqrt(square(p_eta) - -0.2246256)))"
17,0.20382808,"log((p_pt_track + ((square(p_eta / 0.1109069) * sqrt(p_pt_track)) + (pX_E3x5_Lr2 / exp(p_ptcone40)))) * 0.70889455)"
19,0.1925543,"log((pX_E3x5_Lr2 / square(p_ptcone40 + 0.9491977)) + ((square(p_eta / 0.13535604) + 63.561623) * sqrt(p_pt_track))) + pX_deltaPhi2"
20,0.19163422,"pX_deltaPhi2 + log((pX_ecore * (0.16662893 / (p_ptcone40 + 0.22624996))) + (sqrt(p_pt_track) * (square(p_eta / 0.14085297) + 63.449066)))"
21,0.18449023,"log(((square(p_eta / -0.13589838) + 69.067474) * sqrt(p_pt_track)) + ((0.08780118 / (square(p_ptcone40) + 0.1296115)) * pX_ecore)) + pX_deltaPhi2"
23,0.18060848,"(log(((pX_ecore * 0.07528737) / (0.1170224 + square(p_ptcone40))) + (sqrt(p_pt_track) * (square(p_eta / 0.13247949) + 80.43496))) + pX_deltaPhi2) + pX_deltaPhi2"
25,0.17992444,"(pX_deltaPhi2 + pX_deltaPhi2) + log((pX_ecore * (0.07798754 / (0.12489843 + square(p_ptcone40)))) + ((sqrt(p_pt_track) + -2.0018132) * (square(p_eta / 0.13186632) + 86.41859)))"
