Complexity,Loss,Equation
1,1.1022085,"10.650815"
2,0.809812,"log(pX_E3x5_Lr2)"
4,0.5765009,"log(pX_E3x5_Lr2 + p_pt_track)"
5,0.4999521,"log(p_pt_track) + abs(p_eta)"
6,0.43730983,"log((0.44731233 * pX_E3x5_Lr2) + p_pt_track)"
7,0.35192946,"(abs(p_eta) * 0.71796787) + log(p_pt_track)"
9,0.34324855,"(log(p_pt_track) + (0.71794724 * abs(p_eta))) - pX_deltaPhi2"
10,0.34239998,"log(p_pt_track) + (abs(p_eta) * (abs(0.71794724) - pX_deltaPhi2))"
11,0.33840492,"log((p_pt_track + (square(p_eta) * p_pt_track)) + (pX_E3x5_Lr2 * 0.04903718))"
13,0.31613925,"log(((pX_ecore * 0.08145012) + p_pt_track) + ((p_pt_track * square(p_eta)) / 1.4411017))"
15,0.3032694,"log((pX_E3x5_Lr2 * 0.2259519) + ((p_pt_track * 1.5137361) + (p_pt_track * square(p_eta)))) - 0.457539"
17,0.2984823,"log(((pX_E3x5_Lr2 * 0.2009285) + p_pt_track) + (0.3138118 * (square(p_eta) * (p_pt_track + p_pt_track)))) + pX_deltaPhi2"
19,0.29836893,"log(((pX_E3x5_Lr2 * 0.2009285) - p_ptcone40) + (p_pt_track + ((0.3138118 * square(p_eta)) * (p_pt_track + p_pt_track)))) + pX_deltaPhi2"
21,0.29689658,"pX_deltaPhi2 + log(((pX_E3x5_Lr2 * 0.20056352) + (p_pt_track - p_ptcone40)) + (square(p_eta) * ((p_pt_track + (p_pt_track * -0.43092656)) + -4.909129)))"
22,0.29660258,"log(abs(((((square(p_eta) * 0.3138118) * (p_pt_track + p_pt_track)) + p_pt_track) + (pX_E3x5_Lr2 * 0.2009285)) - p_ptcone40)) + (pX_deltaPhi2 + -0.056432776)"
23,0.29660162,"-0.056432776 + (pX_deltaPhi2 + log((0.3138118 * (square(p_eta) * (p_pt_track + p_pt_track))) + ((p_pt_track + (pX_E3x5_Lr2 * 0.2009285)) + (pX_deltaPhi2 - p_ptcone40))))"
24,0.29612643,"log(abs((((((square(p_eta) * 0.31326926) * (p_pt_track + p_pt_track)) + p_pt_track) + (pX_E3x5_Lr2 * 0.22703446)) - p_ptcone40) + -1.0758942)) + (pX_deltaPhi2 + -0.06700919)"
