Complexity,Loss,Equation
1,1.1022085,"10.650813"
2,0.809812,"log(pX_E3x5_Lr2)"
4,0.5765009,"log(pX_E3x5_Lr2 + p_pt_track)"
5,0.4999521,"log(p_pt_track) + abs(p_eta)"
6,0.43420678,"log((pX_E3x5_Lr2 / 1.9893216) + p_pt_track)"
7,0.35192952,"log(p_pt_track) + abs(p_eta / 1.39285)"
8,0.29613742,"log(p_pt_track + (pX_ecore / (p_ptcone40 - -1.907946)))"
9,0.29612753,"log(abs(pX_ecore / (-1.9078947 - p_ptcone40)) + p_pt_track)"
10,0.28314722,"log(p_pt_track + (pX_ecore / (p_ptcone40 - -1.1804906))) - 0.27125388"
11,0.26265624,"log((pX_E3x5_Lr2 / (p_ptcone40 - -0.9869185)) + (p_pt_track * abs(p_eta)))"
13,0.2424619,"log((pX_E3x5_Lr2 / (p_ptcone40 - -1.449032)) + ((abs(p_eta) + 0.3760037) * p_pt_track))"
15,0.23820013,"log((pX_E3x5_Lr2 / ((p_ptcone40 - -1.449032) + p_ptcone40)) + ((abs(p_eta) + 0.3760037) * p_pt_track))"
16,0.23652956,"log((p_pt_track * (abs(p_eta) + 0.35001847)) + (pX_E3x5_Lr2 / (sqrt(p_ptcone40) + (p_ptcone40 - -1.3785144))))"
17,0.22955512,"(pX_deltaPhi2 + log(((pX_ecore / (p_ptcone40 - -0.6582903)) - -5749.45) + (p_pt_track * abs(p_eta)))) + -0.66221726"
18,0.22955039,"log(((abs(pX_ecore) / (p_ptcone40 - -0.6582903)) - -5749.45) + abs(p_pt_track * p_eta)) + (pX_deltaPhi2 + -0.66221726)"
19,0.2200712,"log(abs(p_eta * p_pt_track) + ((pX_ecore / (p_ptcone40 - -0.6190775)) - -8745.371)) + ((pX_deltaPhi2 + -0.7245951) + pX_deltaPhi2)"
20,0.22006838,"pX_deltaPhi2 + ((-0.732155 + pX_deltaPhi2) + log((abs(pX_ecore) / (p_ptcone40 - -0.61368895)) + (abs(p_eta * p_pt_track) - -8910.444)))"
21,0.21515377,"(pX_deltaPhi2 + (pX_deltaPhi2 + (pX_deltaPhi2 + -0.8122564))) + log(((pX_ecore / (p_ptcone40 - -0.56779313)) - -13073.486) + (p_pt_track * abs(p_eta)))"
23,0.21456252,"(log((p_pt_track * abs(p_eta)) + ((pX_ecore / (p_ptcone40 - -0.5605238)) - -14722.961)) + -0.830885) + (((pX_deltaPhi2 + pX_deltaPhi2) * 1.2197951) + pX_deltaPhi2)"
24,0.21455896,"log((p_pt_track * abs(p_eta)) + ((abs(pX_ecore) / (p_ptcone40 - -0.5605238)) - -14722.961)) + (-0.830885 + ((1.2197951 * (pX_deltaPhi2 + pX_deltaPhi2)) + pX_deltaPhi2))"
25,0.21334329,"log((pX_ecore / (p_ptcone40 - -0.5275216)) + (abs(p_pt_track * p_eta) - -17367.963)) + (((pX_deltaPhi2 * (pX_deltaPhi2 + 2.0343568)) + -0.88726485) + (pX_deltaPhi2 + pX_deltaPhi2))"
